/var/spool/slurm/slurmd/job11400829/slurm_script: line 11: mmodule: command not found
Lmod has detected the following error: These module(s) or extension(s) exist
but cannot be loaded as requested: "Miniconda3/23.5.2-0"
   Try: "module spider Miniconda3/23.5.2-0" to see how to load the module(s).



wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: xiaweijie1996 (weijie_xia) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /gpfs/home4/wxia/TransformerEM-GMM/wandb/run-20250426_200040-5m8cskpn
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run lucky-universe-12
wandb: ⭐️ View project at https://wandb.ai/weijie_xia/timesnet_mmd
wandb: 🚀 View run at https://wandb.ai/weijie_xia/timesnet_mmd/runs/5m8cskpn
3516776
shape of data:  (10000, 250, 97)
Epoch 1, Sub-Epoch 86, Loss: 0.04336901754140854
Epoch 1, Sub-Epoch 87, Loss: 0.039829060435295105
Epoch 1, Sub-Epoch 88, Loss: 0.04203620180487633
Epoch 1, Sub-Epoch 89, Loss: 0.036131635308265686
Epoch 1, Sub-Epoch 90, Loss: 0.0324740968644619
Epoch 1, Sub-Epoch 91, Loss: 0.03516960144042969
Epoch 1, Sub-Epoch 92, Loss: 0.04110467806458473
Epoch 1, Sub-Epoch 93, Loss: 0.04246782884001732
Epoch 1, Sub-Epoch 94, Loss: 0.042209431529045105
Epoch 1, Sub-Epoch 95, Loss: 0.03855712711811066
Epoch 1, Sub-Epoch 96, Loss: 0.033081866800785065
Epoch 1, Sub-Epoch 97, Loss: 0.04047786816954613
Epoch 1, Sub-Epoch 98, Loss: 0.04079107940196991
Epoch 1, Sub-Epoch 99, Loss: 0.03650493919849396
Epoch 1, Sub-Epoch 100, Loss: 0.03419041261076927
Epoch 1, Sub-Epoch 101, Loss: 0.04421308636665344
Epoch 1, Sub-Epoch 102, Loss: 0.04934128373861313
Epoch 1, Sub-Epoch 103, Loss: 0.044066473841667175
Epoch 1, Sub-Epoch 104, Loss: 0.03934381529688835
Epoch 1, Sub-Epoch 105, Loss: 0.03919568657875061
Epoch 1, Sub-Epoch 106, Loss: 0.03693962097167969
Epoch 1, Sub-Epoch 107, Loss: 0.041389599442481995
Epoch 1, Sub-Epoch 108, Loss: 0.03600374609231949
Epoch 1, Sub-Epoch 109, Loss: 0.040140844881534576
Epoch 1, Sub-Epoch 110, Loss: 0.04444044083356857
Epoch 1, Sub-Epoch 111, Loss: 0.0384603776037693
Epoch 1, Sub-Epoch 112, Loss: 0.04782402887940407
Epoch 1, Sub-Epoch 113, Loss: 0.03700566664338112
Epoch 1, Sub-Epoch 114, Loss: 0.037847887724637985
Epoch 1, Sub-Epoch 115, Loss: 0.040088485926389694
